Sample,pH,EC,OC,N,P,K,S,Zn,B,Fe,Mn,Cu,Area in Acre,Bigha
Sample 88,6.77,0.27,0.4,165,9.67,275,13.78,1.17,0.59,8.64,1.96,0.33,1.5,9
Sample 89,7.38,0.11,0.13,77,19.98,99,12.15,1.27,0.41,6.66,2.26,0.54,2.6,14
Sample 90,7.36,0.12,0.14,72,19.86,86,12.54,1.28,0.46,6.64,2.26,0.57,2.51,16
Sample 91,7.33,0.1,0.22,111,3.05,89,15.25,0.81,0.46,6.98,2.09,0.18,1.24,9
Sample 92,7.42,0.13,0.15,77,18.1,88,12.44,1.33,0.5,6.97,2.22,0.58,2.48,14
Sample 93,7.38,0.1,0.15,75,18.14,97,11.71,1.33,0.44,6.97,2.28,0.54,2.56,16
Sample 94,7.42,0.11,0.12,66,14.61,92,12.28,1.3,0.52,6.66,2.2,0.56,2.42,15
Sample 95,6.93,0.12,0.29,130,17.17,144,14.92,0.89,1.27,6.72,2.47,0.48,1.93,12
Sample 96,7.09,0.14,0.13,69,12.13,80,14.85,1.25,0.46,7.34,1.8,0.83,0.45,4
Sample 97,7.22,0.13,0.22,101,5.46,110,11.7,0.66,0.94,8.27,2.07,0.51,1.42,8
Sample 98,7.41,0.11,0.17,63,16.13,84,12.19,1.38,0.56,7.14,2.28,0.57,2.43,15
Sample 99,6.9,0.15,0.31,151,13.36,180,14.78,0.69,0.68,8.73,2.62,0.22,1.34,7
Sample 100,6.94,0.14,0.28,153,13.12,176,15.12,0.75,0.74,9.58,2.65,0.31,1.21,7
Sample 101,7.2,0.13,0.2,107,3.53,127,12.36,0.56,0.9,8.09,2.02,0.48,1.29,9
Sample 102,7.04,0.15,0.22,106,5.48,125,15.22,1.05,0.61,8.63,1.76,0.47,1.14,7
Sample 103,7.37,0.11,0.22,99,3.1,89,15.17,0.78,0.58,7.37,2.04,0.25,1.42,8
Sample 104,7.19,0.11,0.22,98,3.82,132,12.56,0.68,0.9,8.25,2.08,0.47,1.28,8
Sample 105,7.41,0.11,0.16,79,18.74,94,12.27,1.18,0.48,6.73,2.34,0.56,2.45,15
Sample 106,7.37,0.1,0.24,100,4.71,80,15.98,0.86,0.55,7.08,2.21,0.31,1.49,9
Sample 107,7.39,0.11,0.17,61,18.53,80,12.35,1.32,0.37,6.98,2.28,0.52,2.43,14
Sample 108,7.16,0.15,0.2,117,5.93,141,14.85,1.01,0.55,8.7,1.95,0.51,1.04,6
Sample 109,7.42,0.1,0.18,83,18.5,91,12.11,1.37,0.46,6.48,2.09,0.51,2.52,15
Sample 110,7.41,0.11,0.11,70,19.06,98,12.3,1.29,0.51,6.8,2.28,0.54,2.39,14
Sample 111,6.94,0.1,0.3,144,19.36,131,14.6,0.91,1.24,6.85,2.44,0.47,1.98,12
Sample 112,6.8,0.25,0.35,165,9.93,243,13.95,1.11,0.64,8.82,1.9,0.41,1.42,9
Sample 113,6.82,0.27,0.39,153,9.28,273,13.54,1.21,0.61,9.05,2.03,0.34,1.48,10
Sample 114,6.98,0.14,0.29,143,15.14,180,14.62,0.72,0.69,9.29,2.65,0.26,1.33,6
Sample 115,7.26,0.11,0.24,107,6.64,112,15.35,0.84,0.5,6.92,2.06,0.28,1.05,7
Sample 116,6.9,0.1,0.31,137,20.2,146,14.67,0.99,1.19,6.62,2.55,0.48,1.93,13
Sample 117,6.93,0.11,0.3,133,17.5,135,15.12,0.89,1.16,6.64,2.47,0.55,2,12
Sample 118,7.25,0.13,0.2,102,4.54,122,12.59,0.67,0.92,8.27,2.02,0.5,1.51,8
Sample 119,7.14,0.14,0.16,67,13.58,112,14.59,1.2,0.5,7.75,1.88,0.81,0.53,4
Sample 120,6.95,0.12,0.32,139,18.47,134,14.55,0.95,1.13,6.69,2.49,0.52,2.03,12
Sample 121,7.19,0.12,0.14,74,12.8,98,14.58,1.28,0.51,7.88,1.87,0.8,0.72,4
Sample 122,6.86,0.11,0.27,126,18.17,146,14.84,0.93,1.18,6.28,2.51,0.53,1.95,13
Sample 123,6.92,0.12,0.32,156,18.67,159,14.58,1.03,1.17,6.41,2.51,0.5,2.01,12
Sample 124,7.23,0.11,0.13,64,14.61,119,14.68,1.2,0.49,8.06,1.77,0.83,0.73,4
Sample 125,6.88,0.15,0.3,148,13.04,169,14.69,0.7,0.72,9.29,2.73,0.32,1.11,7
Sample 126,7.19,0.11,0.16,72,15.23,107,15.29,1.22,0.48,7.8,1.8,0.74,0.59,3
Sample 127,6.79,0.14,0.34,137,14.86,180,14.66,0.76,0.6,8.89,2.66,0.23,1.13,8
Sample 128,7.09,0.13,0.24,104,6.73,133,14.73,0.99,0.48,8.19,1.85,0.47,0.92,8
Sample 129,7.23,0.12,0.21,108,5.76,132,11.97,0.67,1.02,8.58,1.99,0.52,1.43,7
Sample 130,7.45,0.12,0.17,59,18.24,98,12.31,1.37,0.49,6.77,2.15,0.52,2.81,15
Sample 131,7.39,0.1,0.17,69,17.13,87,12.49,1.35,0.42,7,2.2,0.46,2.67,15
Sample 132,6.83,0.23,0.39,157,10.21,270,13.6,1.16,0.56,8.79,1.98,0.4,1.65,11
Sample 133,6.95,0.11,0.29,143,18.13,148,14.85,0.99,1.14,6.49,2.45,0.51,1.99,12
Sample 134,6.85,0.11,0.27,140,17.89,137,14.84,0.97,1.11,6.18,2.55,0.44,2.02,11
Sample 135,7.38,0.1,0.14,78,18.64,99,12.22,1.28,0.43,7.05,2.27,0.59,2.53,14
Sample 136,7.29,0.11,0.18,102,5.79,147,11.83,0.68,0.94,8.14,2.17,0.44,1.33,8
Sample 137,7.18,0.12,0.23,115,4.69,121,12.01,0.66,0.91,8.17,2,0.55,1.29,7
Sample 138,6.93,0.1,0.3,125,21.18,131,15.08,0.91,1.21,6.75,2.59,0.5,1.98,13
Sample 139,7.24,0.13,0.22,112,6.17,140,12.01,0.71,0.97,8.49,1.99,0.48,1.23,8
Sample 140,7.23,0.13,0.24,109,4.91,137,12.13,0.62,0.95,8.02,1.96,0.48,1.21,8
Sample 141,7.27,0.14,0.16,77,13.34,82,14.82,1.17,0.43,7.96,1.81,0.86,0.53,4
Sample 142,6.79,0.26,0.35,168,9.09,257,13.46,1.24,0.58,8.89,2,0.41,1.75,9
Sample 143,6.99,0.16,0.26,155,12.6,167,14.91,0.64,0.68,9.47,2.73,0.31,1.12,6
Sample 144,7.1,0.14,0.21,105,5.47,124,14.74,1.05,0.5,8.33,1.8,0.48,1.13,7
Sample 145,7.12,0.11,0.22,107,5.37,126,12.26,0.7,0.94,8.04,1.99,0.5,1.22,8
Sample 146,7.15,0.14,0.15,69,12.99,102,14.81,1.2,0.35,7.84,1.74,0.81,0.46,3
Sample 147,7.19,0.13,0.12,80,12.53,116,14.81,1.24,0.55,7.95,1.87,0.81,0.66,4
Sample 148,7.25,0.13,0.21,108,4.11,96,15.28,0.86,0.54,7.02,2.14,0.22,1.27,7
Sample 149,7.06,0.15,0.22,107,5.22,138,14.88,1.04,0.56,8.79,1.78,0.42,1.01,7
Sample 150,6.79,0.25,0.39,164,6.47,260,14.13,1.11,0.65,8.96,1.86,0.34,1.45,10
Sample 151,7.11,0.15,0.21,104,5.5,154,15.45,1.08,0.61,8.87,1.79,0.47,1.19,8
Sample 152,7.15,0.15,0.2,106,5.08,147,15.31,1.01,0.53,8.25,1.82,0.47,1.21,7
Sample 153,7.15,0.15,0.22,109,2.52,126,14.73,1.12,0.6,8.53,1.85,0.51,1.08,6
Sample 154,6.89,0.1,0.31,145,18.06,138,14.67,0.85,1.15,6.49,2.53,0.51,2.06,12
Sample 155,6.96,0.1,0.31,141,17.89,139,14.88,0.96,1.14,6.32,2.61,0.5,2.04,13
Sample 156,7.15,0.13,0.23,101,3.95,128,12.03,0.66,1.07,8.11,1.98,0.47,1.39,8
Sample 157,7.05,0.1,0.33,140,17.9,126,14.98,0.86,1.1,6.77,2.47,0.54,1.87,12
Sample 158,7.13,0.15,0.16,89,12.56,111,14.91,1.2,0.56,7.76,1.81,0.69,0.67,3
Sample 159,7.13,0.12,0.22,102,2.85,123,14.88,1.11,0.54,8.72,1.83,0.5,1.03,7
Sample 160,7.18,0.13,0.16,68,12.71,100,14.44,1.16,0.52,7.62,1.87,0.84,0.42,4
Sample 161,7.28,0.12,0.21,101,2.89,84,15.48,0.95,0.52,7.01,2.18,0.22,1.1,8
Sample 162,6.83,0.16,0.31,148,13.54,168,14.2,0.73,0.77,9.36,2.74,0.28,1.33,8
Sample 163,7.29,0.11,0.23,96,5.36,102,15.83,0.77,0.53,6.83,1.94,0.25,1.25,8
Sample 164,7.24,0.11,0.23,108,5.09,90,15.42,0.84,0.58,7.29,2.12,0.22,1.05,9
Sample 165,6.91,0.11,0.32,152,19.13,128,14.58,0.93,1.21,6.42,2.44,0.53,1.95,12
Sample 166,7.16,0.12,0.17,60,14.93,90,14.54,1.2,0.45,8.02,1.94,0.8,0.57,4
Sample 167,6.81,0.25,0.38,175,9.31,253,14,1.24,0.62,8.78,2.02,0.37,1.35,10
Sample 168,7.12,0.12,0.13,66,13.4,84,14.48,1.16,0.5,7.85,1.78,0.83,0.56,4
Sample 169,7.16,0.13,0.18,76,12.44,116,14.29,1.31,0.53,8.18,1.73,0.83,0.6,3
Sample 170,7.19,0.12,0.25,109,3.49,144,12.15,0.65,0.94,7.85,1.99,0.51,1.26,8
Sample 171,6.93,0.14,0.33,142,14.35,175,14.85,0.73,0.58,9.28,2.81,0.3,1.09,7
Sample 172,6.81,0.25,0.36,164,7.93,248,13.86,1.15,0.65,9.11,1.96,0.38,1.56,10
Sample 173,6.94,0.1,0.31,125,19.15,126,14.43,0.91,1.16,6.67,2.49,0.56,2.04,13
Sample 174,7.23,0.09,0.23,105,3.94,69,15.25,0.87,0.58,7.21,2.11,0.23,1.5,7
Sample 175,7.16,0.14,0.23,108,6.09,131,15.38,0.96,0.61,8.32,1.8,0.47,1.16,7
Sample 176,7.3,0.09,0.22,98,4.71,123,15.51,0.85,0.59,7.3,2.12,0.26,1.54,7
Sample 177,7.1,0.11,0.21,114,1.26,120,12.3,0.68,1.03,8.19,2.02,0.42,1.19,7
Sample 178,6.89,0.15,0.29,140,13.62,162,14.42,0.75,0.71,9.06,2.64,0.25,1.21,7
Sample 179,7.26,0.12,0.23,110,6.25,119,11.98,0.61,1.07,8.43,2,0.56,1.29,8
Sample 180,6.86,0.16,0.31,140,13.54,163,14.7,0.72,0.85,8.96,2.78,0.32,1.23,8
Sample 181,7.15,0.14,0.21,102,4.81,114,15.25,1.06,0.55,8.01,1.83,0.44,1,7
Sample 182,6.89,0.16,0.31,142,13.72,173,14.73,0.69,0.71,9.43,2.62,0.26,1.06,6
Sample 183,6.86,0.12,0.29,141,18.68,132,15.06,0.91,1.17,6.66,2.47,0.52,1.81,13
Sample 184,7.43,0.12,0.15,81,18.48,79,12.56,1.37,0.47,6.82,2.28,0.56,2.52,15
Sample 185,6.96,0.11,0.3,150,17.07,146,15.19,0.9,1.26,6.12,2.54,0.47,2.11,13
Sample 186,6.91,0.15,0.32,139,14.8,186,15.01,0.67,0.72,9.16,2.6,0.32,1.11,7
Sample 187,7.44,0.1,0.16,75,18.41,89,12.38,1.37,0.46,7,2.25,0.49,2.44,14
Sample 188,6.91,0.14,0.3,140,14.3,176,14.7,0.76,0.74,9.23,2.72,0.22,1.29,7
Sample 189,7.4,0.11,0.12,75,18.2,88,12.16,1.34,0.48,6.81,2.28,0.56,2.41,15
Sample 190,6.95,0.17,0.31,144,15.42,199,15.23,0.7,0.65,9.06,2.73,0.29,1.18,7
Sample 191,7.18,0.14,0.22,83,4.36,138,12.14,0.69,1.01,8.09,1.97,0.5,1.32,8
Sample 192,7.27,0.11,0.24,116,5.16,79,15.92,0.84,0.52,7.28,2.19,0.27,1.35,8
Sample 193,7.31,0.12,0.24,106,3.74,91,15.31,0.88,0.62,7.35,2.1,0.27,1.39,7
Sample 194,6.92,0.11,0.3,143,16.95,145,14.85,0.93,1.25,6.44,2.51,0.49,2.04,12
Sample 195,7.32,0.09,0.21,114,4.39,75,15.39,0.83,0.56,7.21,2.12,0.2,1.25,9
Sample 196,7.18,0.13,0.16,67,13.02,90,14.7,1.17,0.52,7.5,1.81,0.83,0.64,6
Sample 197,7.3,0.11,0.22,104,6.31,81,15.2,0.8,0.51,7,2.1,0.24,1.18,8
Sample 198,6.85,0.25,0.35,166,11,256,13.04,1.11,0.6,9.03,1.98,0.41,1.44,9
Sample 199,7.14,0.14,0.25,105,5.79,134,15.01,1.06,0.57,8.52,1.79,0.44,1.08,7
Sample 200,6.87,0.1,0.29,148,16.7,136,15.09,0.91,1.15,6.42,2.59,0.52,1.94,12
Sample 201,7.21,0.16,0.24,108,6.08,153,14.87,1.03,0.53,8.32,1.74,0.46,0.98,6
Sample 202,6.87,0.1,0.3,148,19.87,132,14.77,0.87,1.29,6.19,2.59,0.5,1.93,11
Sample 203,6.93,0.14,0.32,141,13.86,169,14.96,0.7,0.75,9.32,2.65,0.24,1.38,7
Sample 204,7.04,0.15,0.21,96,3.97,148,14.77,1.08,0.53,8.64,1.87,0.52,1.08,7
Sample 205,7.45,0.1,0.14,70,17.28,70,11.96,1.28,0.55,7.24,2.19,0.56,2.6,14
Sample 206,7.21,0.13,0.21,97,5.66,137,11.87,0.6,0.95,8.01,1.95,0.44,1.25,7
Sample 207,7.18,0.13,0.16,64,12.47,86,14.92,1.2,0.42,8,1.8,0.79,0.6,5
Sample 208,7.06,0.16,0.23,102,5.83,122,14.7,1.03,0.54,8.29,1.91,0.44,1.14,7
Sample 209,7.11,0.13,0.23,114,2.38,150,14.81,1.05,0.52,8.53,1.83,0.49,1.01,8
Sample 210,7.42,0.11,0.15,65,16.79,88,12.25,1.31,0.51,7.31,2.15,0.56,2.49,15
Sample 211,6.8,0.25,0.35,171,9.76,260,13.82,1.19,0.63,8.87,1.93,0.38,1.45,11
Sample 212,7.18,0.13,0.24,101,4.02,138,11.67,0.64,0.97,8.25,1.97,0.49,1.01,8
Sample 213,7.35,0.12,0.23,103,3.98,95,15.44,0.79,0.59,7.47,2.14,0.2,1.23,7
Sample 214,6.78,0.25,0.35,156,10.36,272,13.84,1.15,0.6,8.76,1.92,0.36,1.52,11
Sample 215,7.26,0.1,0.19,99,3.15,78,15.35,0.84,0.48,6.8,2.11,0.27,1.25,8
Sample 216,7.19,0.12,0.22,113,2.21,127,11.68,0.7,0.96,8.24,1.95,0.54,1.42,8
Sample 217,7.29,0.1,0.21,119,4.29,74,14.97,0.84,0.53,7.39,2.14,0.24,1.25,8
Sample 218,6.96,0.15,0.29,140,12.17,183,14.69,0.7,0.69,9.15,2.7,0.26,1.16,7
Sample 219,7.35,0.1,0.14,81,17.86,89,12.22,1.31,0.57,6.99,2.26,0.5,2.37,15
Sample 220,6.77,0.24,0.37,163,9.99,253,13.15,1.16,0.57,8.52,1.92,0.37,1.65,10
Sample 221,6.9,0.12,0.29,151,16.84,131,14.88,0.91,1.1,6.64,2.48,0.54,1.85,11
Sample 222,7.08,0.13,0.23,96,5.11,145,14.82,1.12,0.59,8.36,1.92,0.41,1.06,7
Sample 223,7.41,0.08,0.17,66,20.66,90,11.78,1.24,0.57,7.12,2.4,0.54,2.49,15
Sample 224,6.91,0.16,0.29,137,12.59,188,15.01,0.74,0.78,8.94,2.79,0.34,1.28,8
Sample 225,7.26,0.11,0.22,101,4.31,94,15.73,0.93,0.58,6.97,2.07,0.23,1.22,8
Sample 226,6.89,0.13,0.3,146,13.13,179,14.73,0.7,0.72,9.12,2.78,0.2,1.14,6
Sample 227,6.78,0.26,0.38,178,9.84,233,13.98,1.2,0.63,8.8,1.9,0.4,1.54,11
Sample 228,7.26,0.1,0.24,114,4.22,90,15.19,0.93,0.57,7.58,2.03,0.23,1.33,8
Sample 229,7.21,0.13,0.2,97,5.18,104,12.48,0.67,1.04,7.95,1.97,0.4,1.21,8
Sample 230,6.88,0.16,0.29,131,14.91,192,14.58,0.7,0.67,9.23,2.8,0.31,1.32,8
Sample 231,7.21,0.13,0.17,76,13.41,78,14.55,1.24,0.5,7.55,1.72,0.83,0.5,3
Sample 232,7.11,0.13,0.2,106,5.79,139,14.91,1.03,0.51,8.65,1.89,0.39,1.28,7
Sample 233,6.87,0.16,0.3,147,13.88,181,14.94,0.73,0.66,9.38,2.74,0.2,1.12,8
Sample 234,6.9,0.11,0.3,139,16.53,134,14.26,0.9,1.14,6.41,2.51,0.54,2.18,11
Sample 235,6.8,0.14,0.26,134,12.74,184,14.65,0.7,0.73,8.84,2.64,0.26,1.18,7
Sample 236,7.29,0.14,0.15,78,14.8,94,14.5,1.21,0.53,7.87,1.73,0.79,0.61,4
Sample 237,6.96,0.1,0.27,144,18.32,96,14.62,0.88,1.12,6.27,2.56,0.47,1.89,11
Sample 238,7.2,0.13,0.19,75,13.72,105,15.06,1.21,0.46,8,1.82,0.78,0.47,5
Sample 239,7.29,0.11,0.24,102,4.19,74,15.26,0.83,0.5,7.21,1.94,0.19,1.29,8
Sample 240,6.92,0.14,0.28,144,13.67,172,14.82,0.8,0.76,8.95,2.68,0.25,1.16,7
Sample 241,7.22,0.12,0.17,69,12.53,93,14.65,1.21,0.49,7.76,1.84,0.82,0.55,3
Sample 242,7.29,0.13,0.21,110,2.58,126,12.22,0.67,0.94,7.97,1.95,0.49,1.17,9
Sample 243,6.88,0.24,0.36,169,9.06,263,13.56,1.18,0.63,8.73,2.03,0.32,1.46,9
Sample 244,7.19,0.13,0.17,67,13.55,101,14.58,1.14,0.51,7.83,1.86,0.8,0.76,3
Sample 245,7.17,0.14,0.14,71,13.86,109,15.21,1.19,0.55,8.22,1.84,0.8,0.42,5
Sample 246,7.26,0.11,0.18,100,5.84,105,11.84,0.67,1.09,7.9,1.91,0.5,1.44,8
Sample 247,7.16,0.14,0.14,82,13.57,84,14.67,1.16,0.52,7.79,1.84,0.81,0.56,3
Sample 248,7.02,0.14,0.23,105,4.37,119,14.97,1.02,0.46,8.72,1.89,0.45,1.13,8
